Date,AAPL,TSLA,MSFT,GOOGL,AMZN,NVDA,AAPL_Prev,AAPL_MA7,TSLA_Prev,TSLA_MA7,MSFT_Prev,MSFT_MA7,GOOGL_Prev,GOOGL_MA7,AMZN_Prev,AMZN_MA7,NVDA_Prev,NVDA_MA7
2020-03-31 00:00:00-04:00,61.71084213256836,34.93333435058594,150.95668029785156,57.82106018066406,97.48600006103516,6.565809726715088,61.837039947509766,60.047459738595144,33.47533416748047,33.782762799944194,153.36875915527344,144.2591509137835,57.042781829833984,55.926902770996094,98.19750213623048,96.41449955531529,6.615378379821777,6.2151376860482355
2020-04-01 00:00:00-04:00,58.46380615234375,32.104000091552734,145.59646606445312,54.8427963256836,95.38500213623048,6.054443836212158,61.71084213256836,60.62087631225586,34.93333435058594,34.232953207833425,150.95668029785156,146.46476527622767,57.82106018066406,56.26791490827288,97.48600006103516,96.44928523472377,6.565809726715088,6.323239462716239
2020-04-02 00:00:00-04:00,59.43936538696289,30.29800033569336,148.611572265625,55.58574676513672,95.94149780273438,6.363304615020752,58.46380615234375,60.55327115740095,32.104000091552734,33.75171497889927,145.59646606445312,147.41100420270647,54.8427963256836,56.17564174107143,95.38500213623048,96.29735674176898,6.054443836212158,6.3456211771283835
2020-04-03 00:00:00-04:00,58.58514404296875,32.000667572021484,147.24282836914062,54.37503433227539,95.32949829101562,6.075366020202637,59.43936538696289,60.41078186035156,30.29800033569336,33.18752452305385,148.611572265625,148.3558850969587,55.58574676513672,56.112230028424946,95.94149780273438,96.44557080950055,6.363304615020752,6.339536326272147
2020-04-06 00:00:00-04:00,63.69596481323242,34.41600036621094,158.19293212890625,58.87800979614258,99.87950134277344,6.685369968414307,58.58514404296875,60.55049514770508,32.000667572021484,33.074000767299104,147.24282836914062,149.60841805594308,54.37503433227539,56.25632749285017,95.32949829101562,96.74628557477679,6.075366020202637,6.379247120448521
2020-04-07 00:00:00-04:00,62.95822525024414,36.36333465576172,156.48916625976562,58.846656799316406,100.58000183105467,6.451979637145996,63.69596481323242,60.95576967511858,34.41600036621094,33.370095934186665,158.19293212890625,151.49405779157365,58.87800979614258,56.77029800415039,99.87950134277344,97.54271480015346,6.685369968414307,6.401664597647531
2020-04-08 00:00:00-04:00,64.5696029663086,36.589332580566406,158.05894470214844,60.06283950805664,102.1500015258789,6.649251461029053,62.95822525024414,61.346135820661274,36.36333465576172,33.8149528503418,156.48916625976562,152.1640842982701,58.846656799316406,57.201734815325054,100.58000183105467,98.10735757010323,6.451979637145996,6.40650360924857
2020-04-09 00:00:00-04:00,65.03555297851562,38.20000076293945,158.0684814453125,60.041446685791016,102.13800048828124,6.549618721008301,64.5696029663086,61.82109451293945,36.589332580566406,34.28161948067801,158.05894470214844,153.18005589076452,60.06283950805664,57.51893288748605,102.1500015258789,98.77192905970982,6.649251461029053,6.404190608433315
2020-04-13 00:00:00-04:00,66.3120346069336,43.39666748046875,158.42263793945312,60.23252868652344,108.44349670410156,6.721487045288086,65.03555297851562,62.94227000645229,38.20000076293945,35.894857679094585,158.0684814453125,155.01236615862166,60.041446685791016,58.28889465332031,102.13800048828124,100.6374282836914,6.549618721008301,6.499482495444162
2020-04-14 00:00:00-04:00,69.66100311279297,47.32600021362305,166.26193237304688,62.96049499511719,114.16600036621094,7.072692394256592,66.3120346069336,64.40250396728516,43.39666748046875,38.3274290902274,158.42263793945312,157.53384617396765,60.23252868652344,59.342430114746094,108.44349670410156,103.24092864990234,6.721487045288086,6.6008236067635675
2020-04-15 00:00:00-04:00,69.02519226074219,48.65533447265625,164.51986694335938,62.56587600708008,115.38400268554688,6.995227336883545,69.66100311279297,65.89393942696708,47.32600021362305,40.70666721888951,166.26193237304688,160.00199454171317,62.96049499511719,60.512550354003906,114.16600036621094,106.1058578491211,7.072692394256592,6.732232366289411
2020-04-16 00:00:00-04:00,69.57364654541016,49.68066787719727,169.4589080810547,62.57234191894531,120.40950012207033,7.340456008911133,69.02519226074219,66.73360824584961,48.65533447265625,42.88733400617327,164.51986694335938,161.61141967773438,62.56587600708008,61.040312085832866,115.38400268554688,109.03871481759208,6.995227336883545,6.825816086360386
2020-04-17 00:00:00-04:00,68.62963104248047,50.25933456420898,170.95213317871094,63.64571380615234,118.75,7.281173229217529,69.57364654541016,67.54380907331195,49.68066787719727,44.87247685023716,169.4589080810547,163.67755780901228,62.57234191894531,61.725891658238005,120.40950012207033,111.63442884172711,7.340456008911133,6.944272313799177
2020-04-20 00:00:00-04:00,67.2051010131836,49.75733184814453,167.56370544433594,62.75746154785156,119.68049621582033,7.149908065795898,68.62963104248047,67.92030879429409,50.25933456420898,46.75361960274832,170.95213317871094,165.03538077218192,63.64571380615234,62.11083766392299,118.75,114.13878522600446,7.281173229217529,7.015794685908726
2020-04-21 00:00:00-04:00,65.12776947021484,45.78133392333984,160.6337432861328,60.319618225097656,116.40599822998048,6.713016986846924,67.2051010131836,67.93348257882255,49.75733184814453,47.83666719709124,167.56370544433594,165.40184674944197,62.75746154785156,62.15057645525251,119.68049621582033,116.17707061767578,7.149908065795898,7.0391372953142435
2020-04-22 00:00:00-04:00,67.0036849975586,48.80733489990234,166.0896453857422,62.62111282348633,118.17449951171876,7.127490043640137,65.12776947021484,68.03228977748326,45.78133392333984,48.609619685581755,160.6337432861328,166.49713352748327,60.319618225097656,62.49180276053293,116.40599822998048,117.5672138759068,6.713016986846924,7.097137723650251
